School_Year,Busbreakdown_ID,Run_Type,Bus_No,Route_Number,Reason,Schools_Serviced,Occurred_On,Created_On,Boro,Bus_Company_Name,How_Long_Delayed,Number_Of_Students_On_The_Bus,Has_Contractor_Notified_Schools,Has_Contractor_Notified_Parents,Have_You_Alerted_OPT,Informed_On,Incident_Number,Last_Updated_On,Breakdown_or_Running_Late,School_Age_or_PreK
2015-2016,1228962,Special Ed AM Run,GC0088,X982,Heavy Traffic,07004,11/12/15 7:51,11/12/15 7:53,Bronx,G.V.C. LTD. (B2192),25 mins,8,Yes,No,No,11/12/15 7:53,,11/12/15 7:53,Running Late,School-Age
2015-2016,1228963,Special Ed AM Run,NI1509,K185,Other,22222,11/12/15 7:48,11/12/15 7:53,Brooklyn,"NEW DAWN TRANSIT, LLC (B2",10-15 m,10,Yes,Yes,No,11/12/15 7:53,,11/12/15 8:02,Running Late,School-Age
2015-2016,1228964,Special Ed AM Run,4509,K618,Heavy Traffic,14017,11/12/15 7:52,11/12/15 7:53,Brooklyn,"RELIANT TRANS, INC. (B232",,9,Yes,Yes,Yes,11/12/15 7:53,,11/12/15 7:53,Running Late,School-Age
2017-2018,1423673,Special Ed AM Run,21102,K201,Heavy Traffic,"160,211,645,816,502,000,000,000,000,000",3/23/18 7:30,3/23/18 7:31,Brooklyn,EMPIRE STATE BUS CORP.,16-30 Min,5,Yes,Yes,No,3/23/18 7:31,,1/1/00 0:00,Running Late,School-Age
2015-2016,1214806,Special Ed AM Run,HA 622,L991,Other,22286,9/16/15 7:24,9/16/15 7:27,Brooklyn,HAPPY CHILD TRANS LLC (B2,60 MINS,2,Yes,Yes,No,9/16/15 7:27,,9/16/15 7:27,Running Late,School-Age
2015-2016,1215736,Special Ed AM Run,1836,L015,Flat Tire,18002,9/18/15 6:30,9/18/15 7:06,Bronx,B & F SKILLED INC.(B2192),,0,No,Yes,Yes,9/18/15 7:06,,9/18/15 7:08,Breakdown,School-Age
2015-2016,1225294,Special Ed AM Run,2010,K285,Late return from Field Trip,18272,10/27/15 13:39,10/27/15 13:40,Brooklyn,EMPIRE CHARTER SERVICE IN,30MINS,18,No,No,No,10/27/15 13:40,,10/27/15 13:40,Running Late,School-Age
2015-2016,1226808,Special Ed AM Run,2042,K396,Heavy Traffic,16409,11/2/15 8:03,11/2/15 8:10,Brooklyn,"RELIANT TRANS, INC. (B232",,12,Yes,Yes,Yes,11/2/15 8:10,,11/2/15 8:10,Running Late,School-Age
2015-2016,1228966,Special Ed AM Run,NI2127,K009,Other,13113,11/12/15 7:50,11/12/15 7:55,Brooklyn,"NEW DAWN TRANSIT, LLC (B2",10 min,7,Yes,Yes,No,11/12/15 7:55,,11/12/15 7:55,Running Late,School-Age
2015-2016,1228967,Special Ed AM Run,30138,X425,Other,08101,11/12/15 7:45,11/12/15 7:55,Bronx,CONSOLIDATED BUS TRANS. I,20 min,0,Yes,Yes,No,11/12/15 7:55,,11/12/15 7:55,Running Late,School-Age
2015-2016,1228968,Special Ed AM Run,21283,M654,Heavy Traffic,02655,11/12/15 7:48,11/12/15 7:55,Manhattan,LEESEL TRANSP CORP (B2192,15,4,Yes,Yes,Yes,11/12/15 7:55,,11/12/15 7:55,Running Late,School-Age
